,product_id,name,category,brand,description
129,129,Sneakers,CLOTHING,Nike,Sneakers from Portugal
130,130,Boots,CLOTHING,Timberland,Boots from Norway
131,131,Sandals,CLOTHING,Next,Sandals from Switzerland
132,132,Loafers,CLOTHING,John Lewis,Loafers from United Kingdom
133,133,Heels,CLOTHING,New Look,Heels from Germany
134,134,Flip Flops,CLOTHING,Havianas,Flip Flops from Netherlands
135,135,Slippers,CLOTHING,M&S,Slippers from Belgium
136,136,Scarf,CLOTHING,Sainsburys,Scarf from France
137,137,Hat,CLOTHING,Nike,Hat from Italy
138,138,Beanie,CLOTHING,Tesco,Beanie from Spain
139,139,Cap,CLOTHING,Adidas,Cap from Poland
140,140,Gloves,CLOTHING,Tesco,Gloves from Czech Republic
141,141,Belt,CLOTHING,Hugo Boss,Belt from Sweden
142,142,Tie,CLOTHING,Moss Bros,Tie from Austria
143,143,Bow Tie,CLOTHING,Moss Bros,Bow Tie from Denmark
144,144,Socks,CLOTHING,Nike,Socks from Finland
145,145,Dress,CLOTHING,John Lewis,Dress from Hungary
146,146,Tracksuit,CLOTHING,Adidas,Tracksuit from Slovakia
147,147,Overalls,CLOTHING,Levi,Overalls from Romania
148,148,Jumpsuit,CLOTHING,Next,Jumpsuit from Portugal
149,149,Pajamas,CLOTHING,M&S,Pajamas from Norway
150,150,Sofa,HOME,John Lewis,Sofa from Switzerland
151,151,Armchair,HOME,DFS,Armchair from United Kingdom
152,152,Dining Table,HOME,John Lewis,Dining Table from Germany
153,153,Dining Chair,HOME,John Lewis,Dining Chair from Netherlands
154,154,Bed,HOME,Fishpools,Bed from Belgium
155,155,Wardrobe,HOME,John Lewis,Wardrobe from France
156,156,Dresser,HOME,John Lewis,Dresser from Italy
157,157,Nightstand,HOME,Ikea,Nightstand from Spain
158,158,Coffee Table,HOME,Ikea,Coffee Table from Poland
159,159,Bookshelf,HOME,John Lewis,Bookshelf from Czech Republic
160,160,TV Stand,HOME,Ikea,TV Stand from Sweden
161,161,Desk,HOME,Ikea,Desk from Austria
162,162,Office Chair,HOME,John Lewis,Office Chair from Denmark
163,163,Refrigerator,HOME,Russel Hobs,Refrigerator from Finland
164,164,Oven,HOME,Bosch,Oven from Hungary
165,165,Microwave,HOME,Bosch,Microwave from Slovakia
166,166,Dishwasher,HOME,Bosch,Dishwasher from Romania
167,167,Cutlery Set,HOME,Dunelm,Cutlery Set from Portugal
168,168,Plates,HOME,Dunelm,Plates from Norway
169,169,Bowls,HOME,Dunelm,Bowls from Switzerland
170,170,Glasses,HOME,Dunelm,Glasses from United Kingdom
171,171,Mugs,HOME,Sainsburys,Mugs from Germany
172,172,Cooking Pots,HOME,Le Creuset,Cooking Pots from Netherlands
173,173,Pans,HOME,Tesco,Pans from Belgium
174,174,Toaster,HOME,Russel Hobs,Toaster from France
175,175,Kettle,HOME,Russel Hobs,Kettle from Italy
176,176,Coffee Machine,HOME,Nescafe,Coffee Machine from Spain
177,177,Towels,HOME,Tesco,Towels from Poland
178,178,Shower Curtain,HOME,Dunelm,Shower Curtain from Czech Republic
179,179,Blankets,HOME,John Lewis,Blankets from Sweden
180,180,Bedding Set,HOME,John Lewis,Bedding Set from Austria
181,181,Pillows,HOME,Dunelm,Pillows from Denmark
182,182,Mattress,HOME,Emma,Mattress from Finland
183,183,Mirror,HOME,Sainsburys,Mirror from Hungary
184,184,Picture Frame,HOME,Sainsburys,Picture Frame from Slovakia
185,185,Vase,HOME,John Lewis,Vase from Romania
186,186,Candle,HOME,Yankee,Candle from Portugal
187,187,Books,HOME,Waterstones,Books from Norway
188,188,Lampshade,HOME,John Lewis,Lampshade from Switzerland
189,189,Floor Lamp,HOME,Tesco,Floor Lamp from United Kingdom
190,190,Wall Clock,HOME,John Lewis,Wall Clock from Germany
191,191,Rug,HOME,Fishpools,Rug from Netherlands
192,192,Curtains,HOME,John Lewis,Curtains from Belgium
193,193,Blinds,HOME,Ikea,Blinds from France
194,194,Plant Pot,HOME,Ikea,Plant Pot from Italy
195,195,Washing Machine,HOME,Bosch,Washing Machine from Spain
196,196,Dryer,HOME,Bosch,Dryer from Poland
197,197,Vacuum Cleaner,HOME,Dyson,Vacuum Cleaner from Czech Republic
198,198,Heater,HOME,Dyson,Heater from Sweden
199,199,Ceiling Fan,HOME,Dyson,Ceiling Fan from Austria
