stage_id,product_id,stage_type,location,start_date,end_date,description,stage_name
S13-004,P013,Transport,"London Gatwick Airport, UK",18/9/2025,,Clothing shipped to United Kingdom,
S13-005,P013,Retail,"Quicksilver Retail Store, London, UK",21/9/2025,,Displayed in clothing store,
S14-001,P014,Raw Materials,"Dhaka, Bangladesh",5/4/2025,,Cotton harvested from field,
S14-002,P014,Processing,"Dhaka, Bangladesh",7/4/2025,,Fabric cut and processed,
S14-003,P014,Assembly,"Detroit, Michigan, US",9/4/2025,,Cap stitched,
S14-004,P014,Transport,"London Heathrow Airport, UK",12/4/2025,,Clothing shipped to United Kingdom,
S14-005,P014,Retail,"Adidas Retail Store, London, UK",15/4/2025,,Displayed in clothing store,
S15-001,P015,Raw Materials,"Dhaka, Bangladesh",29/7/2025,,Wood harvested from tree farm,
S15-002,P015,Processing,"Manchester, UK",31/7/2025,,Wood cut and processed,
S15-003,P015,Assembly,"Manchester, UK",2/8/2025,,Sofa assembled,
S15-004,P015,Transport,"National Road Network, UK",5/8/2025,,Furniture transported via UK road networks,
S15-005,P015,Retail,"John Lewis Store, London, UK",8/8/2025,,Displayed in furniture store,
S16-001,P016,Raw Materials,"Uppsala, Sweden",20/2/2025,,Wood harvested from tree farm,
S16-002,P016,Processing,"Stockholm, Sweden",22/2/2025,,Wood cut and processed,
S16-003,P016,Assembly,"Stockholm, Sweden",24/2/2025,,Desk assembled,
S16-004,P016,Transport,"London Heathrow Airport, UK",26/2/2025,,Furniture shipped to United Kingdom,
S16-005,P016,Retail,"Ikea Warehouse Store, London, UK",28/2/2025,,Displayed in furniture store,
S17-001,P017,Raw Materials,"Harare, Botswana",12/5/2025,,Metal and plastic materials sourced,
S17-002,P017,Processing,"Geneva, Switzerland",14/5/2025,,Machine components produced,
S17-003,P017,Assembly,"Geneva, Switzerland",16/5/2025,,Coffee machine assembled,
S17-004,P017,Transport,"Dover, UK",19/5/2025,,Coffee machines shipped to United Kingdom,
S17-005,P017,Retail,"Nescafe Retail Store, London, UK",22/5/2025,,Displayed in appliance store,
S18-001,P018,Raw Materials,"Binh Long, Vietnam",8/8/2025,,Fabric materials sourced,
S18-002,P018,Processing,Ho Chi Minh City,10/8/2025,,Fabric cut and processed,
S18-003,P018,Assembly,Ho Chi Minh City,12/8/2025,,Pillows filled and stitched,
S18-004,P018,Transport,"London Heathrow Airport, UK",15/8/2025,,Pillows shipped to United Kingdom,
S18-005,P018,Retail,"Dunelm Retail Store, London, UK",18/8/2025,,Displayed in home goods store,
S19-001,P019,Raw Materials,"Dhaka, Bangladesh",30/9/2025,,Wool sourced from sheep,
S19-002,P019,Processing,"Dhaka, Bangladesh",2/10/2025,,Wool cut and processed,
S19-003,P019,Assembly,"Chelmsford, UK",4/10/2025,,Rug woven,
S19-004,P019,Transport,"National Road Network, UK",7/10/2025,,Rugs transported via UK road networks,
S19-005,P019,Retail,"Fishpools Retail Store, London, UK",10/10/2025,,Displayed in furniture store,
